gender,age
M,40
K,40
M,8
M,34
K,34
M,32
K,30
M,35
K,28
K,5
K,33
K,48
M,28
K,38
K,3
K,3
M,0
M,26
M,40
M,50
K,43
M,10
K,5
M,36
K,49
K,66
K,53
K,21
K,18
M,16
K,46
K,13
K,79
K,44
K,27
M,26
M,22
M,20
M,21
M,50
M,46
M,34
K,33
M,29
M,25
M,19
M,24
M,65
K,72
M,34
K,7
M,36
M,21
K,58
K,56
K,29
M,18
M,26
M,22
M,50
M,34
M,18
M,17
K,29
K,38
M,25
M,27
K,53
M,29
K,27
M,22
M,3
M,42
K,39
K,12
K,11
M,10
M,7
K,2
K,24
K,26
K,18
K,28
M,27
M,19
M,16
M,24
M,41
K,38
K,8
K,22
M,29
M,29
M,20
M,27
K,24
M,59
K,62
M,23
M,33
K,28
M,34
K,26
K,44
M,17
M,4
K,1
M,42
K,40
K,11
K,9
M,39
K,33
M,9
K,7
K,5
K,3
M,39
K,33
M,9
M,35
K,44
M,10
K,8
K,3
M,36
K,26
M,6
M,1
M,35
K,45
K,15
K,9
M,7
M,6
M,2
M,33
K,37
K,12
K,8
M,3
M,40
K,40
M,10
K,7
M,42
K,40
M,11
K,9
M,8
M,6
K,3
K,28
M,25
M,51
K,44
K,15
K,12
K,10
K,7
M,4
M,69
K,51
K,15
K,14
M,12
K,7
M,49
K,56
K,16
M,46
M,38
K,40
M,49
K,35
M,8
K,5
K,36
K,11
M,55
K,44
K,6
K,3
M,28
K,27
M,1
M,47
K,48
K,6
M,37
K,33
K,10
M,49
K,39
K,6
M,3
M,38
K,39
M,3
M,25
K,32
M,6
K,4
M,29
K,24
K,2
M,58
K,51
K,9
K,6
M,44
M,14
M,7
K,32
M,32
K,44
K,10
M,8
M,3
M,1
M,22
M,21
K,28
M,39
K,34
K,2
K,17
K,20
M,38
K,35
M,9
M,7
K,4
K,1
K,17
M,31
K,28
K,5
K,4
M,1
M,19
M,28
M,30
K,31
K,3
M,1
M,31
K,29
M,5
M,2
M,27
K,28
K,3
M,1
M,27
K,32
M,26
M,30
K,33
M,6
M,4
K,2
K,9
M,63
K,61
M,20
K,39
K,12
K,9
K,7
K,1
K,40
M,35
K,35
M,11
M,22
M,47
K,36
M,1
M,28
M,28
M,36
K,39
M,9
M,7
M,31
K,25
K,4
K,19
M,31
K,29
K,4
M,36
K,35
M,11
K,5
K,1
M,38
K,34
K,1
K,16
M,26
K,24
K,4
M,3
M,27
K,26
K,64
K,3
K,1
K,59
K,76
M,46
K,44
K,14
K,12
K,9
K,7
M,33
K,34
M,10
K,10
M,3
M,38
K,67
M,24
M,32
M,42
K,40
M,12
M,10
K,9
M,7
K,5
M,3
K,58
K,21
K,43
M,32
K,87
M,69
K,52
K,14
M,26
K,43
K,9
M,32
K,39
K,11
M,9
M,7
K,3
M,56
K,44
K,23
M,37
K,59
M,21
M,20
M,15
M,14
M,52
K,56
K,17
M,46
K,40
K,13
M,7
K,5
M,45
K,38
M,34
M,24
M,30
K,24
M,2
M,48
K,49
M,10
K,7
M,27
K,24
M,6
M,2
K,34
M,9
M,9
M,8
M,25
M,24
K,28
M,46
K,41
M,12
M,10
M,8
K,5
K,3
M,40
K,57
M,58
K,36
K,16
K,16
K,8
K,5
K,1
K,15
K,76
K,39
M,22
M,24
M,17
M,13
M,13
M,31
K,33
K,5
M,3
M,1
M,38
K,30
K,8
K,63
K,27
M,25
M,22
M,20
M,21
M,36
K,33
M,1
M,31
K,38
K,1
M,1
M,26
M,60
K,59
M,26
K,29
K,1
M,36
K,NULL
K,2
M,40
K,37
K,11
M,47
K,57
M,16
M,36
K,35
M,33
K,26
M,4
K,1
M,35
K,38
K,30
M,2
M,41
M,65
M,26
K,24
M,1
M,25
M,45
K,34
K,13
K,11
K,6
K,1
M,27
M,18
M,21
K,20
K,14
K,19
M,35
K,34
K,9
